area_type,climhuman
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,yes
urban,no
urban,no
urban,no
urban,no
urban,no
urban,no
urban,no
urban,no
urban,no
urban,no
urban,no
urban,no
urban,no
urban,no
urban,no
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,yes
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
rural,no
