ID,date,date_code,ventilator,pestfield,COORD_X,COORD_Y
1,Before 1851,1,0,0,  529329.970395044190809,  180846.585337265511043
2,Before 1851,1,0,0,  529316.939419229864143,  180846.973339610325638
3,Before 1851,1,0,0,  529323.970205598394386,  180835.351098483602982
4,Before 1851,1,0,0,  529291.026014503091574,  180792.489371238101739
5,Before 1851,1,0,0,  529370.045104179298505,  180791.847680181323085
6,Before 1851,1,0,0,  529363.628646598313935,  180800.438509273051750
7,Before 1851,1,0,0,  529360.027034148573875,  180789.235801546717994
8,Before 1851,1,0,0,  529394.114942291518673,  180750.036445413832553
9,Before 1851,1,0,0,  529392.109565362799913,  180746.281712025695015
10,Before 1851,1,0,0,  529444.655433517880738,  180778.427600640919991
11,Before 1851,1,0,0,  529433.836127512622625,  180790.778243717039004
12,Before 1851,1,0,0,  529430.864559860667214,  180787.840633001760580
13,Before 1851,1,0,0,  529408.332810443709604,  180826.997278332419228
14,Before 1851,1,0,0,  529404.305007982649840,  180820.160759270132985
15,Before 1851,1,0,0,  529397.305768596008420,  180826.884868695458863
16,Before 1851,1,0,0,  529374.258217707974836,  180873.940924678114243
17,Before 1851,1,0,0,  529500.632325841812417,  181018.067791280336678
18,Before 1851,1,0,0,  529502.410524993785657,  181014.241069130017422
19,Before 1851,1,0,0,  529463.655212377663702,  181059.381349000846967
20,Before 1851,1,0,0,  529474.101241305936128,  181053.418546972679906
21,Before 1851,1,0,0,  529469.302837845869362,  181002.623171934916172
22,Before 1851,1,0,0,  529465.221668838523328,  181002.014156157907564
23,Before 1851,1,0,0,  529379.302081724745221,  180931.644716581387911
24,Before 1851,1,0,0,  529365.342407542280853,  180935.329740450310055
25,Before 1851,1,0,0,  529368.397375590866432,  180930.862078166275751
26,Before 1851,1,0,0,  529347.106201050803065,  180917.188928554300219
27,Before 1851,1,0,0,  529337.086151246912777,  180910.536657190765254
28,Before 1851,1,0,0,  529346.932570692151785,  180911.628990388067905
29,Before 1851,1,0,0,  529342.264272585976869,  180909.321643696574029
30,Before 1851,1,0,0,  529363.781983577064238,  180881.081615101429634
31,Before 1851,1,0,0,  529366.845660390914418,  180884.526579568802845
32,Before 1851,1,0,0,  529370.731691444409080,  180863.918559749785345
33,Before 1851,1,0,0,  529366.931192936608568,  180872.912670072517358
34,Before 1851,1,0,0,  529202.995858624926768,  181051.314760176348500
35,Before 1851,1,0,0,  529206.501315380563028,  181054.713955638755579
36,Before 1851,1,0,0,  529382.119558604084887,  181127.814334645925555
37,Before 1851,1,0,0,  529385.922544823726639,  181143.968424649676308
38,Before 1851,1,0,0,  529384.769556310027838,  181148.654298740380909
39,Before 1851,1,0,0,  529376.333590840105899,  181155.193772918020841
40,Before 1851,1,0,0,  529371.661506408592686,  181154.437638163159136
41,Before 1851,1,0,0,  529411.805944527732208,  181030.866837821202353
42,Before 1851,1,0,0,  529417.558716251864098,  181039.698250375513453
43,Before 1851,1,0,0,  529422.361217280151322,  181041.969397042645141
44,Before 1851,1,0,0,  529430.600092079956084,  181040.925725818320643
45,Before 1851,1,0,0,  529430.162574943387881,  181027.394760016293731
46,Before 1851,1,0,0,  529481.887262946227565,  181057.222107847395819
47,Before 1851,1,0,0,  529489.214167047757655,  181075.879672159440815
48,Before 1851,1,0,0,  529502.913769125938416,  181066.584666611626744
49,Before 1851,1,0,0,  529495.566604838590138,  181086.748109770414885
50,Before 1851,1,0,0,  529500.145873338449746,  181089.153225712361746
51,Before 1851,1,0,0,  529321.805729636806063,  180849.831571414833888
52,Before 1851,1,0,0,  529335.365785250440240,  180839.238985665666405
53,Before 1851,1,0,0,  529296.744467887794599,  180874.811046360526234
54,Before 1851,1,0,0,  529298.537577502196655,  180878.454571773705538
55,Before 1851,1,0,0,  529299.486416506697424,  180883.515781823894940
56,Before 1851,1,0,0,  529289.251968885888346,  180876.347434942144901
57,Before 1851,1,0,0,  529289.640413299202919,  180882.257884650724009
58,Before 1851,1,0,0,  529311.305345577304251,  180902.525603564747144
59,Before 1851,1,0,0,  529314.858415442053229,  180904.055170758161694
60,Before 1851,1,0,0,  529293.762415698147379,  180924.961972708755638
61,Before 1851,1,0,0,  529297.293520181439817,  180927.354467204422690
62,Before 1851,1,0,0,  529250.152172721573152,  180983.721871084009763
63,Before 1851,1,0,0,  529254.293145372299477,  180986.849428512272425
64,Before 1851,1,0,0,  529242.684014442027546,  180994.901330296997912
65,Before 1851,1,0,0,  529246.473337528994307,  180997.732106337498408
66,Before 1851,1,0,0,  529211.413036663900129,  181052.248341885395348
67,Before 1851,1,0,0,  529206.158355038613081,  181043.479769515397493
68,Before 1851,1,0,0,  529183.095391651499085,  181223.657528391282540
69,Before 1851,1,0,0,  529211.298248431528918,  181013.468188397760969
70,Before 1851,1,0,0,  529192.229158006841317,  181002.413803699251730
71,Before 1851,1,0,0,  529194.498973727575503,  181068.139232175715733
72,Before 1851,1,0,0,  529545.912841535406187,  180936.761084779398516
73,Before 1851,1,0,0,  529574.576866806601174,  180958.300402144726831
74,Before 1851,1,0,0,  529573.088339775684290,  181013.213537800242193
75,Before 1851,1,0,0,  529565.035842078854330,  181039.223267028166447
76,Before 1851,1,0,0,  529634.668756226426922,  181009.379986413114239
77,Before 1851,1,1,0,  529260.631587175303139,  180767.918727238837164
78,Before 1851,1,1,0,  529178.119651376502588,  180875.198005766258575
