area_type,climhuman,age
urban,yes,31.0
urban,yes,28.0
urban,yes,32.0
urban,yes,38.0
urban,yes,27.0
urban,yes,27.0
urban,yes,38.0
urban,yes,33.0
urban,yes,26.0
urban,yes,32.0
urban,yes,26.0
urban,yes,26.0
urban,yes,30.0
urban,yes,19.0
urban,yes,19.0
urban,yes,25.0
urban,yes,22.0
urban,yes,30.0
urban,yes,23.0
urban,yes,20.0
urban,yes,37.0
urban,yes,27.0
urban,yes,29.0
urban,yes,20.0
urban,yes,25.0
urban,yes,29.0
urban,yes,22.0
urban,yes,31.0
urban,yes,25.0
urban,yes,27.0
urban,yes,25.0
urban,yes,40.0
urban,yes,28.0
urban,yes,22.0
urban,yes,33.0
urban,yes,21.0
urban,yes,30.0
urban,yes,19.0
urban,yes,21.0
urban,yes,30.0
urban,yes,33.0
urban,yes,30.0
urban,yes,28.0
urban,yes,27.0
urban,yes,20.0
urban,no,34.0
urban,no,42.0
urban,no,52.0
urban,no,39.0
urban,no,52.0
urban,no,19.0
urban,no,46.0
urban,no,40.0
urban,no,37.0
urban,no,40.0
urban,no,24.0
urban,no,38.0
urban,no,42.0
urban,no,51.0
urban,no,35.0
rural,yes,24.0
rural,yes,26.0
rural,yes,35.0
rural,yes,31.0
rural,yes,19.0
rural,yes,30.0
rural,yes,26.0
rural,yes,24.0
rural,yes,32.0
rural,yes,35.0
rural,yes,34.0
rural,yes,23.0
rural,yes,27.0
rural,yes,30.0
rural,yes,34.0
rural,yes,26.0
rural,yes,27.0
rural,yes,22.0
rural,yes,21.0
rural,yes,33.0
rural,yes,37.0
rural,yes,28.0
rural,yes,35.0
rural,yes,31.0
rural,no,33.0
rural,no,35.0
rural,no,47.0
rural,no,42.0
rural,no,35.0
rural,no,44.0
rural,no,40.0
rural,no,47.0
rural,no,34.0
rural,no,37.0
rural,no,36.0
rural,no,28.0
rural,no,42.0
rural,no,42.0
rural,no,40.0
rural,no,38.0
